Player,Year,Surface,Matches,Wins,Win_pct
Darderi L.,2024,Grass,5,2,40.0
Darderi L.,2024,Hard,14,2,14.285714285714285
Darderi L.,2025,Clay,27,20,74.07407407407408
Darderi L.,2025,Grass,6,2,33.33333333333333
Darderi L.,2025,Hard,18,6,33.33333333333333
Darderi L.,2026,Clay,9,7,77.77777777777779
Darderi L.,2026,Hard,7,4,57.14285714285714
Dasnieres de Veigy J.,2010,Clay,1,0,0.0
Dasnieres de Veigy J.,2011,Clay,2,1,50.0
Dasnieres de Veigy J.,2011,Hard,2,0,0.0
Dasnieres de Veigy J.,2012,Clay,1,0,0.0
Davidovich Fokina A.,2019,Clay,9,3,33.33333333333333
Davidovich Fokina A.,2019,Grass,1,0,0.0
Davidovich Fokina A.,2020,Clay,6,2,33.33333333333333
Davidovich Fokina A.,2020,Hard,17,11,64.70588235294117
Davidovich Fokina A.,2021,Clay,18,13,72.22222222222221
Davidovich Fokina A.,2021,Grass,2,1,50.0
Davidovich Fokina A.,2021,Hard,25,11,44.0
Davidovich Fokina A.,2022,Clay,19,11,57.89473684210527
Davidovich Fokina A.,2022,Grass,5,3,60.0
Davidovich Fokina A.,2022,Hard,22,7,31.818181818181817
Davidovich Fokina A.,2023,Clay,17,9,52.94117647058824
Davidovich Fokina A.,2023,Grass,5,2,40.0
Davidovich Fokina A.,2023,Hard,32,19,59.375
Davidovich Fokina A.,2024,Clay,7,2,28.57142857142857
Davidovich Fokina A.,2024,Grass,1,0,0.0
Davidovich Fokina A.,2024,Hard,29,13,44.827586206896555
Davidovich Fokina A.,2025,Clay,15,9,60.0
Davidovich Fokina A.,2025,Grass,7,5,71.42857142857143
Davidovich Fokina A.,2025,Hard,42,27,64.28571428571429
Davidovich Fokina A.,2026,Hard,14,9,64.28571428571429
Davletshin V.,2003,Hard,1,0,0.0
Davletshin V.,2005,Carpet,1,0,0.0
Davydenko N.,2000,Clay,4,3,75.0
Davydenko N.,2001,Carpet,3,2,66.66666666666666
Davydenko N.,2001,Clay,9,2,22.22222222222222
Davydenko N.,2001,Grass,1,0,0.0
Davydenko N.,2001,Hard,10,3,30.0
Davydenko N.,2002,Carpet,2,1,50.0
Davydenko N.,2002,Clay,15,6,40.0
Davydenko N.,2002,Grass,1,0,0.0
Davydenko N.,2002,Hard,15,5,33.33333333333333
Davydenko N.,2003,Carpet,3,0,0.0
Davydenko N.,2003,Clay,30,18,60.0
Davydenko N.,2003,Grass,2,0,0.0
Davydenko N.,2003,Hard,22,10,45.45454545454545
Davydenko N.,2004,Carpet,11,7,63.63636363636363
Davydenko N.,2004,Clay,29,18,62.06896551724138
Davydenko N.,2004,Grass,3,0,0.0
Davydenko N.,2004,Hard,15,6,40.0
Davydenko N.,2005,Carpet,8,5,62.5
Davydenko N.,2005,Clay,31,23,74.19354838709677
Davydenko N.,2005,Grass,1,1,100.0
Davydenko N.,2005,Hard,38,24,63.1578947368421
Davydenko N.,2006,Carpet,10,10,100.0
Davydenko N.,2006,Clay,34,26,76.47058823529412
Davydenko N.,2006,Grass,3,0,0.0
Davydenko N.,2006,Hard,41,27,65.85365853658537
Davydenko N.,2007,Carpet,9,7,77.77777777777779
Davydenko N.,2007,Clay,23,14,60.86956521739131
Davydenko N.,2007,Grass,6,4,66.66666666666666
Davydenko N.,2007,Hard,42,28,66.66666666666666
Davydenko N.,2008,Carpet,7,5,71.42857142857143
Davydenko N.,2008,Clay,25,21,84.0
Davydenko N.,2008,Grass,1,0,0.0
Davydenko N.,2008,Hard,35,24,68.57142857142857
Davydenko N.,2009,Clay,32,26,81.25
Davydenko N.,2009,Grass,3,2,66.66666666666666
Davydenko N.,2009,Hard,34,26,76.47058823529412
Davydenko N.,2010,Clay,5,2,40.0
Davydenko N.,2010,Grass,4,2,50.0
Davydenko N.,2010,Hard,37,25,67.56756756756756
Davydenko N.,2011,Clay,14,7,50.0
Davydenko N.,2011,Grass,1,0,0.0
Davydenko N.,2011,Hard,33,17,51.515151515151516
Davydenko N.,2012,Clay,12,5,41.66666666666667
Davydenko N.,2012,Grass,1,0,0.0
Davydenko N.,2012,Hard,30,19,63.33333333333333
Davydenko N.,2013,Clay,14,5,35.714285714285715
Davydenko N.,2013,Hard,29,16,55.172413793103445
Davydenko N.,2014,Clay,5,1,20.0
Davydenko N.,2014,Hard,10,5,50.0
Davydenko N. ,2009,Hard,4,3,75.0
Davydenko P.,2012,Hard,1,0,0.0
Davydenko P.,2014,Clay,2,1,50.0
De Bakker T.,2006,Clay,2,1,50.0
De Bakker T.,2007,Clay,2,1,50.0
De Bakker T.,2007,Grass,2,0,0.0
De Bakker T.,2007,Hard,1,0,0.0
De Bakker T.,2008,Clay,2,1,50.0
De Bakker T.,2009,Clay,2,1,50.0
De Bakker T.,2009,Grass,2,1,50.0
De Bakker T.,2009,Hard,1,0,0.0
De Bakker T.,2010,Clay,10,7,70.0
De Bakker T.,2010,Grass,6,3,50.0
De Bakker T.,2010,Hard,30,14,46.666666666666664
De Bakker T.,2011,Clay,6,1,16.666666666666664
De Bakker T.,2011,Hard,7,1,14.285714285714285
De Bakker T.,2012,Hard,2,0,0.0
De Bakker T.,2013,Clay,7,4,57.14285714285714
De Bakker T.,2013,Grass,4,1,25.0
De Bakker T.,2013,Hard,4,1,25.0
De Bakker T.,2014,Clay,2,1,50.0
De Bakker T.,2014,Grass,2,1,50.0
De Bakker T.,2014,Hard,8,4,50.0
De Bakker T.,2015,Clay,4,2,50.0
De Bakker T.,2015,Hard,2,0,0.0
De Bakker T.,2016,Clay,7,2,28.57142857142857
De Bakker T.,2016,Hard,10,3,30.0
De Bakker T.,2018,Hard,1,0,0.0
De Bakker T.,2019,Grass,1,0,0.0
De Chaunac S.,2009,Hard,10,5,50.0
De Greef A.,2015,Clay,2,1,50.0
De Greef A.,2017,Clay,4,1,25.0
De Greef A.,2017,Hard,2,1,50.0
De Heart R.,2008,Hard,2,1,50.0
De Jong J.,2022,Grass,1,0,0.0
De Jong J.,2022,Hard,1,0,0.0
De Jong J.,2023,Clay,1,0,0.0
De Jong J.,2024,Clay,3,1,33.33333333333333
De Jong J.,2024,Hard,4,1,25.0
De Jong J.,2025,Clay,16,10,62.5
De Jong J.,2025,Grass,4,1,25.0
De Jong J.,2025,Hard,8,4,50.0
De Jong J.,2026,Hard,4,0,0.0
De Loore J.,2016,Hard,1,0,0.0
De Loore J.,2018,Clay,1,0,0.0
De Minaur A.,2017,Clay,1,0,0.0
De Minaur A.,2017,Hard,6,3,50.0
De Minaur A.,2018,Clay,3,1,33.33333333333333
De Minaur A.,2018,Grass,5,2,40.0
De Minaur A.,2018,Hard,33,19,57.57575757575758
De Minaur A.,2019,Clay,5,1,20.0
De Minaur A.,2019,Grass,5,2,40.0
De Minaur A.,2019,Hard,41,29,70.73170731707317
De Minaur A.,2020,Clay,2,0,0.0
De Minaur A.,2020,Hard,17,11,64.70588235294117
De Minaur A.,2021,Clay,8,3,37.5
De Minaur A.,2021,Grass,11,8,72.72727272727273
De Minaur A.,2021,Hard,25,11,44.0
De Minaur A.,2022,Clay,13,7,53.84615384615385
De Minaur A.,2022,Grass,11,7,63.63636363636363
De Minaur A.,2022,Hard,35,22,62.857142857142854
De Minaur A.,2023,Clay,9,4,44.44444444444444
De Minaur A.,2023,Grass,9,6,66.66666666666666
De Minaur A.,2023,Hard,46,31,67.3913043478261
De Minaur A.,2024,Clay,15,10,66.66666666666666
De Minaur A.,2024,Grass,8,7,87.5
De Minaur A.,2024,Hard,36,25,69.44444444444444
De Minaur A.,2025,Clay,15,10,66.66666666666666
De Minaur A.,2025,Grass,5,3,60.0
De Minaur A.,2025,Hard,51,35,68.62745098039215
De Minaur A.,2026,Hard,13,10,76.92307692307693
De Paula F.,2014,Clay,1,0,0.0
De Schepper K.,2011,Grass,1,0,0.0
De Schepper K.,2011,Hard,1,0,0.0
De Schepper K.,2012,Grass,3,1,33.33333333333333
De Schepper K.,2012,Hard,2,0,0.0
De Schepper K.,2013,Clay,6,1,16.666666666666664
De Schepper K.,2013,Grass,7,3,42.857142857142854
De Schepper K.,2013,Hard,9,3,33.33333333333333
De Schepper K.,2014,Clay,10,2,20.0
De Schepper K.,2014,Grass,5,2,40.0
De Schepper K.,2014,Hard,10,2,20.0
De Schepper K.,2015,Clay,4,1,25.0
De Schepper K.,2015,Grass,3,1,33.33333333333333
De Schepper K.,2015,Hard,7,2,28.57142857142857
De Schepper K.,2016,Clay,3,0,0.0
De Schepper K.,2016,Hard,3,1,33.33333333333333
De Schepper K.,2017,Clay,2,1,50.0
De Schepper K.,2017,Hard,7,4,57.14285714285714
De Schepper K.,2018,Hard,2,0,0.0
De Voest R.,2008,Grass,2,0,0.0
De Voest R.,2008,Hard,4,1,25.0
De Voest R.,2009,Grass,1,0,0.0
De Voest R.,2009,Hard,5,1,20.0
De Voest R.,2010,Grass,1,0,0.0
De Voest R.,2010,Hard,2,0,0.0
De Voest R.,2011,Grass,2,1,50.0
De Voest R.,2011,Hard,6,3,50.0
De Voest R.,2012,Hard,3,0,0.0
De Voest R.,2013,Hard,1,0,0.0
Decoud S.,2008,Clay,4,2,50.0
Decoud S.,2009,Clay,3,2,66.66666666666666
Decoud S.,2011,Grass,1,0,0.0
Dedura D.,2025,Clay,1,0,0.0
Dedura-Palomero D.,2025,Clay,1,0,0.0
Deen Heshaam A.,2012,Hard,1,0,0.0
Deheart R.,2010,Hard,2,0,0.0
Del Bonis F.,2009,Clay,1,0,0.0
Del Bonis F.,2010,Clay,1,0,0.0
Del Bonis F.,2010,Hard,1,0,0.0
Del Bonis F.,2011,Clay,5,3,60.0
Del Bonis F.,2012,Clay,5,3,60.0
Del Potro J.,2008,Clay,3,2,66.66666666666666
Del Potro J. M.,2017,Clay,2,1,50.0
Del Potro J.M.,2006,Carpet,3,2,66.66666666666666
Del Potro J.M.,2006,Clay,11,5,45.45454545454545
Del Potro J.M.,2006,Hard,6,3,50.0
Del Potro J.M.,2007,Carpet,3,1,33.33333333333333
Del Potro J.M.,2007,Clay,2,1,50.0
Del Potro J.M.,2007,Grass,7,4,57.14285714285714
Del Potro J.M.,2007,Hard,33,18,54.54545454545454
Del Potro J.M.,2008,Carpet,6,4,66.66666666666666
Del Potro J.M.,2008,Clay,12,11,91.66666666666666
Del Potro J.M.,2008,Grass,6,4,66.66666666666666
Del Potro J.M.,2008,Hard,28,22,78.57142857142857
Del Potro J.M.,2009,Clay,13,9,69.23076923076923
Del Potro J.M.,2009,Grass,2,1,50.0
Del Potro J.M.,2009,Hard,47,38,80.85106382978722
Del Potro J.M.,2010,Hard,6,3,50.0
Del Potro J.M.,2011,Clay,10,9,90.0
Del Potro J.M.,2011,Grass,7,5,71.42857142857143
Del Potro J.M.,2011,Hard,43,30,69.76744186046511
Del Potro J.M.,2012,Clay,17,14,82.35294117647058
Del Potro J.M.,2012,Grass,4,3,75.0
Del Potro J.M.,2012,Hard,51,39,76.47058823529412
Del Potro J.M.,2013,Clay,4,2,50.0
Del Potro J.M.,2013,Grass,9,7,77.77777777777779
Del Potro J.M.,2013,Hard,54,42,77.77777777777779
Del Potro J.M.,2014,Hard,9,7,77.77777777777779
Del Potro J.M.,2015,Hard,4,2,50.0
Del Potro J.M.,2016,Clay,5,3,60.0
Del Potro J.M.,2016,Grass,8,5,62.5
Del Potro J.M.,2016,Hard,21,15,71.42857142857143
Del Potro J.M.,2017,Clay,7,5,71.42857142857143
Del Potro J.M.,2017,Grass,2,1,50.0
Del Potro J.M.,2017,Hard,42,30,71.42857142857143
Del Potro J.M.,2018,Clay,9,7,77.77777777777779
Del Potro J.M.,2018,Grass,5,4,80.0
Del Potro J.M.,2018,Hard,43,35,81.3953488372093
Del Potro J.M.,2019,Clay,8,5,62.5
Del Potro J.M.,2019,Grass,1,1,100.0
Del Potro J.M.,2019,Hard,3,2,66.66666666666666
Del Potro J.M.,2022,Clay,1,0,0.0
Delbonis F.,2012,Clay,9,3,33.33333333333333
Delbonis F.,2012,Hard,1,0,0.0
Delbonis F.,2013,Clay,15,10,66.66666666666666
Delbonis F.,2013,Grass,1,0,0.0
Delbonis F.,2013,Hard,4,2,50.0
Delbonis F.,2014,Clay,31,18,58.06451612903226
Delbonis F.,2014,Grass,2,0,0.0
Delbonis F.,2014,Hard,14,2,14.285714285714285
Delbonis F.,2015,Clay,19,10,52.63157894736842
Delbonis F.,2015,Grass,1,0,0.0
Delbonis F.,2015,Hard,11,3,27.27272727272727
Delbonis F.,2016,Clay,22,14,63.63636363636363
Delbonis F.,2016,Grass,1,0,0.0
Delbonis F.,2016,Hard,22,9,40.909090909090914
Delbonis F.,2017,Clay,13,7,53.84615384615385
Delbonis F.,2017,Hard,7,4,57.14285714285714
Delbonis F.,2018,Clay,21,9,42.857142857142854
Delbonis F.,2018,Grass,2,0,0.0
Delbonis F.,2018,Hard,5,1,20.0
Delbonis F.,2019,Clay,24,12,50.0
Delbonis F.,2019,Grass,2,0,0.0
Delbonis F.,2019,Hard,8,2,25.0
Delbonis F.,2020,Clay,15,8,53.333333333333336
Delbonis F.,2020,Hard,6,1,16.666666666666664
Delbonis F.,2021,Clay,34,22,64.70588235294117
Delbonis F.,2021,Grass,1,0,0.0
Delbonis F.,2021,Hard,12,1,8.333333333333332
Delbonis F.,2022,Clay,22,8,36.36363636363637
Delbonis F.,2022,Grass,2,0,0.0
Delbonis F.,2022,Hard,5,0,0.0
Delbonis F.,2023,Clay,2,1,50.0
Delfino M.,2003,Clay,1,0,0.0
Delgado J.,2000,Grass,1,0,0.0
Delgado J.,2000,Hard,9,3,33.33333333333333
Delgado J.,2001,Clay,1,0,0.0
Delgado J.,2001,Grass,6,3,50.0
Delgado J.,2001,Hard,4,0,0.0
Delgado J.,2002,Grass,4,0,0.0
Delgado J.,2003,Grass,2,0,0.0
Delgado J.,2004,Grass,3,1,33.33333333333333
Delgado J.,2005,Grass,3,1,33.33333333333333
Delgado J.,2005,Hard,1,0,0.0
Delgado J.,2006,Grass,2,1,50.0
Delgado R.,2000,Clay,4,3,75.0
Delgado R.,2001,Clay,2,1,50.0
Delgado R.,2001,Hard,14,7,50.0
Delgado R.,2002,Clay,6,1,16.666666666666664
Delgado R.,2002,Grass,2,0,0.0
Delgado R.,2002,Hard,19,7,36.84210526315789
Delgado R.,2003,Clay,3,1,33.33333333333333
Delgado R.,2003,Hard,6,2,33.33333333333333
Delgado R.,2004,Grass,1,0,0.0
Delgado R.,2005,Hard,4,2,50.0
Delgado R.,2006,Grass,2,1,50.0
Delgado R.,2006,Hard,11,3,27.27272727272727
Delgado R.,2008,Hard,2,0,0.0
Delgado R.,2009,Hard,1,0,0.0
Delgado R.,2010,Grass,1,0,0.0
Delgado R.,2010,Hard,2,1,50.0
Delic A.,2003,Hard,4,1,25.0
Delic A.,2004,Grass,1,0,0.0
Delic A.,2004,Hard,6,2,33.33333333333333
Delic A.,2005,Grass,1,0,0.0
Delic A.,2005,Hard,4,1,25.0
Delic A.,2006,Hard,4,1,25.0
Delic A.,2007,Carpet,1,0,0.0
Delic A.,2007,Clay,5,1,20.0
Delic A.,2007,Grass,5,2,40.0
Delic A.,2007,Hard,20,6,30.0
Delic A.,2008,Clay,1,0,0.0
Delic A.,2008,Hard,13,7,53.84615384615385
Delic A.,2009,Clay,1,0,0.0
Delic A.,2009,Grass,1,0,0.0
Delic A.,2009,Hard,6,3,50.0
Delic A.,2011,Hard,1,0,0.0
Delic A.,2012,Hard,1,0,0.0
Delic M.,2011,Clay,1,0,0.0
Delic M.,2014,Clay,6,2,33.33333333333333
Delic M.,2014,Hard,1,0,0.0
Delic M.,2015,Clay,1,0,0.0
Delic M.,2015,Hard,1,0,0.0
Dell'Acqua M.,2003,Hard,1,0,0.0
Dell'Acqua M.,2004,Clay,2,0,0.0
Dell'Acqua M.,2004,Hard,1,0,0.0
Dell'Acqua M.,2008,Grass,2,1,50.0
Dellien H.,2019,Clay,20,8,40.0
Dellien H.,2019,Grass,1,0,0.0
Dellien H.,2019,Hard,3,0,0.0
Dellien H.,2020,Clay,7,2,28.57142857142857
Dellien H.,2020,Hard,2,0,0.0
Dellien H.,2021,Clay,3,1,33.33333333333333
Dellien H.,2021,Hard,2,0,0.0
Dellien H.,2022,Clay,13,4,30.76923076923077
Dellien H.,2022,Grass,1,0,0.0
Dellien H.,2023,Clay,14,5,35.714285714285715
Dellien H.,2023,Grass,1,0,0.0
Dellien H.,2023,Hard,2,0,0.0
Dellien H.,2024,Clay,4,1,25.0
Dellien H.,2025,Clay,5,2,40.0
Dellien H.,2025,Grass,1,0,0.0
Dellien H.,2025,Hard,3,0,0.0
Dellien H.,2026,Clay,2,1,50.0
Demoliner M.,2015,Clay,2,1,50.0
Den Ouden G.,2026,Hard,2,1,50.0
Denolly C.,2025,Clay,2,1,50.0
Dent T.,2000,Hard,8,2,25.0
Dent T.,2001,Grass,5,2,40.0
Dent T.,2001,Hard,18,8,44.44444444444444
Dent T.,2002,Clay,1,0,0.0
Dent T.,2002,Grass,10,7,70.0
Dent T.,2002,Hard,26,13,50.0
Dent T.,2003,Carpet,5,5,100.0
Dent T.,2003,Clay,4,0,0.0
Dent T.,2003,Grass,7,5,71.42857142857143
Dent T.,2003,Hard,21,17,80.95238095238095
Dent T.,2004,Carpet,2,0,0.0
Dent T.,2004,Clay,5,2,40.0
Dent T.,2004,Grass,8,5,62.5
Dent T.,2004,Hard,34,18,52.94117647058824
Dent T.,2005,Carpet,3,1,33.33333333333333
Dent T.,2005,Grass,11,7,63.63636363636363
Dent T.,2005,Hard,35,23,65.71428571428571
Dent T.,2006,Hard,4,1,25.0
Dent T.,2009,Clay,2,1,50.0
Dent T.,2009,Grass,3,1,33.33333333333333
Dent T.,2009,Hard,22,10,45.45454545454545
Dent T.,2010,Clay,2,1,50.0
Dent T.,2010,Grass,4,1,25.0
Dent T.,2010,Hard,23,9,39.130434782608695
Derepasko A.,2001,Grass,1,0,0.0
Desein N.,2013,Clay,1,0,0.0
Desein N.,2014,Hard,1,0,0.0
Desein N.,2015,Grass,1,0,0.0
Dev Varman S.,2006,Hard,1,0,0.0
Dev Varman S.,2007,Hard,2,0,0.0
Devilder N.,2004,Clay,2,1,50.0
Devilder N.,2005,Clay,2,1,50.0
Devilder N.,2005,Hard,2,1,50.0
Devilder N.,2006,Hard,3,1,33.33333333333333
Devilder N.,2007,Clay,16,6,37.5
Devilder N.,2007,Grass,3,1,33.33333333333333
Devilder N.,2007,Hard,4,1,25.0
Devilder N.,2008,Carpet,2,0,0.0
Devilder N.,2008,Clay,8,3,37.5
Devilder N.,2008,Hard,5,1,20.0
Devilder N.,2009,Clay,10,2,20.0
Devilder N.,2009,Grass,3,1,33.33333333333333
Devilder N.,2009,Hard,4,0,0.0
Devilder N.,2011,Clay,1,0,0.0
Devilder N.,2012,Clay,3,2,66.66666666666666
Devvarman S.,2008,Clay,1,0,0.0
Devvarman S.,2008,Hard,2,1,50.0
Devvarman S.,2009,Hard,10,6,60.0
Devvarman S.,2010,Clay,3,1,33.33333333333333
Devvarman S.,2010,Grass,3,1,33.33333333333333
Devvarman S.,2010,Hard,12,5,41.66666666666667
Devvarman S.,2011,Clay,7,3,42.857142857142854
Devvarman S.,2011,Grass,4,1,25.0
Devvarman S.,2011,Hard,29,14,48.275862068965516
Devvarman S.,2012,Hard,2,0,0.0
Devvarman S.,2013,Clay,3,1,33.33333333333333
Devvarman S.,2013,Hard,20,9,45.0
Devvarman S.,2014,Clay,5,1,20.0
Devvarman S.,2014,Grass,2,0,0.0
Devvarman S.,2014,Hard,4,1,25.0
Devvarman S.,2015,Hard,2,0,0.0
Devvarman S.,2016,Hard,1,0,0.0
Dewulf F.,2000,Clay,1,0,0.0
Dewulf F.,2000,Hard,3,1,33.33333333333333
Di Mauro A.,2010,Clay,1,0,0.0
Di Pasquale A.,2003,Hard,5,1,20.0
Diallo G.,2023,Grass,1,0,0.0
Diallo G.,2023,Hard,4,1,25.0
Diallo G.,2024,Clay,1,0,0.0
Diallo G.,2024,Grass,1,0,0.0
Diallo G.,2024,Hard,12,7,58.333333333333336
Diallo G.,2025,Clay,9,5,55.55555555555556
Diallo G.,2025,Grass,12,9,75.0
Diallo G.,2025,Hard,25,10,40.0
Diallo G.,2026,Hard,9,3,33.33333333333333
Diaz Acosta F.,2020,Clay,1,0,0.0
Diaz Acosta F.,2021,Clay,1,0,0.0
Diaz Acosta F.,2023,Clay,3,1,33.33333333333333
Diaz Acosta F.,2023,Hard,3,1,33.33333333333333
Diaz Acosta F.,2024,Clay,23,15,65.21739130434783
Diaz Acosta F.,2024,Grass,1,0,0.0
Diaz Acosta F.,2024,Hard,8,1,12.5
Diaz Acosta F.,2025,Clay,3,0,0.0
Diaz Acosta F.,2025,Hard,4,3,75.0
Diaz Acosta F.,2026,Clay,1,0,0.0
Diaz J.,2000,Clay,6,0,0.0
Diaz J.,2000,Hard,5,1,20.0
Diaz J.,2001,Clay,12,6,50.0
Diaz J.,2001,Grass,1,0,0.0
Diaz J.,2001,Hard,9,2,22.22222222222222
Diaz J.,2002,Clay,2,1,50.0
Diaz J.,2002,Hard,3,0,0.0
Diaz J.,2003,Clay,1,0,0.0
Diaz J.,2003,Hard,1,0,0.0
Diez S.,2014,Hard,1,0,0.0
Diez S.,2016,Clay,1,0,0.0
Diez S.,2016,Hard,2,1,50.0
Diez S.,2017,Clay,1,0,0.0
Diez S.,2019,Clay,1,0,0.0
Diez S.,2020,Clay,1,0,0.0
Diez S.,2022,Clay,1,0,0.0
Dimitrov G.,2008,Grass,1,0,0.0
Dimitrov G.,2009,Clay,1,0,0.0
Dimitrov G.,2009,Grass,2,1,50.0
Dimitrov G.,2009,Hard,4,1,25.0
Dimitrov G.,2010,Grass,2,1,50.0
Dimitrov G.,2011,Clay,7,3,42.857142857142854
Dimitrov G.,2011,Grass,8,4,50.0
Dimitrov G.,2011,Hard,26,10,38.46153846153847
Dimitrov G.,2012,Clay,13,8,61.53846153846154
Dimitrov G.,2012,Grass,6,5,83.33333333333334
Dimitrov G.,2012,Hard,21,10,47.61904761904761
Dimitrov G.,2013,Clay,16,10,62.5
Dimitrov G.,2013,Grass,4,2,50.0
Dimitrov G.,2013,Hard,37,22,59.45945945945946
Dimitrov G.,2014,Clay,14,10,71.42857142857143
Dimitrov G.,2014,Grass,10,9,90.0
Dimitrov G.,2014,Hard,40,27,67.5
Dimitrov G.,2015,Clay,13,8,61.53846153846154
Dimitrov G.,2015,Grass,5,3,60.0
Dimitrov G.,2015,Hard,35,20,57.14285714285714
Dimitrov G.,2016,Clay,9,4,44.44444444444444
Dimitrov G.,2016,Grass,5,2,40.0
Dimitrov G.,2016,Hard,49,32,65.3061224489796
Dimitrov G.,2017,Clay,9,4,44.44444444444444
Dimitrov G.,2017,Grass,8,5,62.5
Dimitrov G.,2017,Hard,50,39,78.0
Dimitrov G.,2018,Clay,12,7,58.333333333333336
Dimitrov G.,2018,Grass,3,1,33.33333333333333
Dimitrov G.,2018,Hard,28,16,57.14285714285714
Dimitrov G.,2019,Clay,11,5,45.45454545454545
Dimitrov G.,2019,Grass,2,0,0.0
Dimitrov G.,2019,Hard,28,15,53.57142857142857
Dimitrov G.,2020,Clay,7,5,71.42857142857143
Dimitrov G.,2020,Hard,18,10,55.55555555555556
Dimitrov G.,2021,Clay,7,3,42.857142857142854
Dimitrov G.,2021,Grass,2,1,50.0
Dimitrov G.,2021,Hard,29,18,62.06896551724138
Dimitrov G.,2022,Clay,14,9,64.28571428571429
Dimitrov G.,2022,Grass,2,1,50.0
Dimitrov G.,2022,Hard,29,15,51.724137931034484
Dimitrov G.,2023,Clay,15,10,66.66666666666666
Dimitrov G.,2023,Grass,7,5,71.42857142857143
Dimitrov G.,2023,Hard,37,25,67.56756756756756
Dimitrov G.,2024,Clay,12,8,66.66666666666666
Dimitrov G.,2024,Grass,5,4,80.0
Dimitrov G.,2024,Hard,45,34,75.55555555555556
Dimitrov G.,2025,Clay,9,6,66.66666666666666
Dimitrov G.,2025,Grass,3,3,100.0
Dimitrov G.,2025,Hard,11,8,72.72727272727273
Dimitrov G.,2026,Hard,7,2,28.57142857142857
Djere L.,2013,Hard,1,0,0.0
Djere L.,2015,Clay,1,0,0.0
Djere L.,2016,Clay,1,0,0.0
Djere L.,2017,Clay,7,5,71.42857142857143
Djere L.,2017,Hard,2,1,50.0
Djere L.,2018,Clay,15,9,60.0
Djere L.,2018,Grass,1,0,0.0
Djere L.,2018,Hard,10,1,10.0
Djere L.,2019,Clay,26,17,65.38461538461539
Djere L.,2019,Grass,4,1,25.0
Djere L.,2019,Hard,11,2,18.181818181818183
Djere L.,2020,Clay,14,10,71.42857142857143
Djere L.,2020,Hard,6,2,33.33333333333333
Djere L.,2021,Clay,23,13,56.52173913043478
Djere L.,2021,Grass,3,1,33.33333333333333
Djere L.,2021,Hard,22,9,40.909090909090914
Djere L.,2022,Clay,20,10,50.0
Djere L.,2022,Grass,3,0,0.0
Djere L.,2022,Hard,19,8,42.10526315789473
Djere L.,2023,Clay,24,13,54.166666666666664
Djere L.,2023,Grass,7,4,57.14285714285714
Djere L.,2023,Hard,23,13,56.52173913043478
Djere L.,2024,Clay,10,4,40.0
Djere L.,2024,Grass,2,0,0.0
Djere L.,2024,Hard,12,6,50.0
Djere L.,2025,Clay,18,12,66.66666666666666
Djere L.,2025,Grass,5,1,20.0
Djere L.,2025,Hard,3,0,0.0
Djere L.,2026,Clay,1,0,0.0
Djere L.,2026,Hard,2,0,0.0
Djokovic M.,2008,Hard,1,0,0.0
Djokovic M.,2012,Clay,1,0,0.0
Djokovic M.,2012,Hard,1,0,0.0
Djokovic N.,2004,Clay,3,1,33.33333333333333
Djokovic N.,2004,Hard,1,0,0.0
Djokovic N.,2005,Carpet,4,2,50.0
Djokovic N.,2005,Clay,4,2,50.0
Djokovic N.,2005,Grass,3,2,66.66666666666666
Djokovic N.,2005,Hard,5,2,40.0
Djokovic N.,2006,Carpet,5,3,60.0
Djokovic N.,2006,Clay,15,12,80.0
Djokovic N.,2006,Grass,6,4,66.66666666666666
Djokovic N.,2006,Hard,22,14,63.63636363636363
Djokovic N.,2007,Carpet,1,0,0.0
Djokovic N.,2007,Clay,21,16,76.19047619047619
Djokovic N.,2007,Grass,7,6,85.71428571428571
Djokovic N.,2007,Hard,54,43,79.62962962962963
Djokovic N.,2008,Carpet,1,0,0.0
Djokovic N.,2008,Clay,16,14,87.5
Djokovic N.,2008,Grass,7,5,71.42857142857143
Djokovic N.,2008,Hard,44,35,79.54545454545455
Djokovic N.,2009,Clay,20,16,80.0
Djokovic N.,2009,Grass,10,8,80.0
Djokovic N.,2009,Hard,58,48,82.75862068965517
Djokovic N.,2010,Clay,13,10,76.92307692307693
Djokovic N.,2010,Grass,8,6,75.0
Djokovic N.,2010,Hard,49,37,75.51020408163265
Djokovic N.,2011,Clay,17,16,94.11764705882352
Djokovic N.,2011,Grass,7,7,100.0
Djokovic N.,2011,Hard,43,40,93.02325581395348
Djokovic N.,2012,Clay,20,16,80.0
Djokovic N.,2012,Grass,6,5,83.33333333333334
Djokovic N.,2012,Hard,53,48,90.56603773584906
Djokovic N.,2013,Clay,15,12,80.0
Djokovic N.,2013,Grass,7,6,85.71428571428571
Djokovic N.,2013,Hard,54,49,90.74074074074075
Djokovic N.,2014,Clay,16,14,87.5
Djokovic N.,2014,Grass,7,7,100.0
Djokovic N.,2014,Hard,46,40,86.95652173913044
Djokovic N.,2015,Clay,17,16,94.11764705882352
Djokovic N.,2015,Grass,7,7,100.0
Djokovic N.,2015,Hard,63,58,92.06349206349206
Djokovic N.,2016,Clay,18,16,88.88888888888889
Djokovic N.,2016,Grass,3,2,66.66666666666666
Djokovic N.,2016,Hard,47,43,91.48936170212765
Djokovic N.,2017,Clay,16,12,75.0
