Player,Year,Surface,Matches,Wins,Win_pct
Barrios M.,2023,Hard,1,0,0.0
Barrios M.,2024,Clay,5,2,40.0
Barrios M.,2025,Clay,5,0,0.0
Barrios M.,2025,Hard,2,1,50.0
Barrios M.,2026,Clay,3,0,0.0
Barrios Vera M.T.,2020,Clay,2,1,50.0
Barton M.,2016,Clay,2,1,50.0
Barton M.,2016,Grass,2,1,50.0
Barton M.,2016,Hard,2,1,50.0
Barton M.,2017,Hard,2,1,50.0
Basavareddy N.,2024,Hard,1,0,0.0
Basavareddy N.,2025,Clay,1,0,0.0
Basavareddy N.,2025,Grass,3,0,0.0
Basavareddy N.,2025,Hard,15,7,46.666666666666664
Basavareddy N.,2026,Hard,2,1,50.0
Basic M.,2013,Grass,2,1,50.0
Basic M.,2013,Hard,2,1,50.0
Basic M.,2014,Clay,1,0,0.0
Basic M.,2016,Clay,1,0,0.0
Basic M.,2016,Hard,4,2,50.0
Basic M.,2017,Hard,3,2,66.66666666666666
Basic M.,2018,Clay,9,3,33.33333333333333
Basic M.,2018,Grass,4,1,25.0
Basic M.,2018,Hard,16,8,50.0
Basic M.,2019,Hard,2,0,0.0
Basic M.,2022,Clay,2,1,50.0
Basic M.,2022,Hard,1,0,0.0
Basilashvili N.,2014,Clay,1,0,0.0
Basilashvili N.,2015,Clay,2,0,0.0
Basilashvili N.,2015,Grass,3,2,66.66666666666666
Basilashvili N.,2015,Hard,6,1,16.666666666666664
Basilashvili N.,2016,Clay,6,4,66.66666666666666
Basilashvili N.,2016,Hard,8,2,25.0
Basilashvili N.,2017,Clay,13,6,46.15384615384615
Basilashvili N.,2017,Grass,5,1,20.0
Basilashvili N.,2017,Hard,28,14,50.0
Basilashvili N.,2018,Clay,18,10,55.55555555555556
Basilashvili N.,2018,Grass,7,3,42.857142857142854
Basilashvili N.,2018,Hard,28,16,57.14285714285714
Basilashvili N.,2019,Clay,16,10,62.5
Basilashvili N.,2019,Grass,4,1,25.0
Basilashvili N.,2019,Hard,30,16,53.333333333333336
Basilashvili N.,2020,Clay,4,0,0.0
Basilashvili N.,2020,Hard,9,2,22.22222222222222
Basilashvili N.,2021,Clay,12,6,50.0
Basilashvili N.,2021,Grass,7,4,57.14285714285714
Basilashvili N.,2021,Hard,36,20,55.55555555555556
Basilashvili N.,2022,Clay,11,4,36.36363636363637
Basilashvili N.,2022,Grass,7,4,57.14285714285714
Basilashvili N.,2022,Hard,19,4,21.052631578947366
Basilashvili N.,2023,Hard,6,1,16.666666666666664
Basilashvili N.,2025,Clay,4,1,25.0
Basilashvili N.,2025,Grass,2,1,50.0
Basilashvili N.,2025,Hard,8,4,50.0
Basilashvili N.,2026,Hard,1,0,0.0
Basso A.,2019,Clay,1,0,0.0
Bastl G.,2000,Carpet,4,2,50.0
Bastl G.,2000,Clay,6,2,33.33333333333333
Bastl G.,2000,Grass,3,0,0.0
Bastl G.,2000,Hard,24,11,45.83333333333333
Bastl G.,2001,Carpet,2,1,50.0
Bastl G.,2001,Clay,4,0,0.0
Bastl G.,2001,Grass,1,0,0.0
Bastl G.,2001,Hard,18,8,44.44444444444444
Bastl G.,2002,Carpet,1,0,0.0
Bastl G.,2002,Clay,1,0,0.0
Bastl G.,2002,Grass,4,2,50.0
Bastl G.,2002,Hard,5,1,20.0
Bastl G.,2003,Grass,2,0,0.0
Bastl G.,2003,Hard,1,0,0.0
Bastl G.,2004,Grass,1,0,0.0
Bastl G.,2005,Carpet,1,0,0.0
Bastl G.,2005,Clay,1,0,0.0
Bastl G.,2005,Grass,1,0,0.0
Bastl G.,2005,Hard,7,3,42.857142857142854
Bastl G.,2006,Carpet,2,1,50.0
Bastl G.,2006,Grass,2,0,0.0
Bastl G.,2006,Hard,8,3,37.5
Bastl G.,2007,Hard,5,1,20.0
Bastl G.,2008,Carpet,2,0,0.0
Bastl G.,2008,Hard,3,1,33.33333333333333
Bastl G.,2009,Hard,2,1,50.0
Bautista Agut R.,2016,Clay,13,8,61.53846153846154
Bautista Agut R.,2016,Grass,5,3,60.0
Bautista Agut R.,2016,Hard,22,13,59.09090909090909
Bautista Agut R.,2017,Clay,18,11,61.111111111111114
Bautista Agut R.,2017,Grass,7,5,71.42857142857143
Bautista Agut R.,2017,Hard,41,29,70.73170731707317
Bautista Agut R.,2018,Clay,17,11,64.70588235294117
Bautista Agut R.,2018,Grass,3,3,100.0
Bautista Agut R.,2018,Hard,31,20,64.51612903225806
Bautista Agut R.,2019,Clay,15,8,53.333333333333336
Bautista Agut R.,2019,Grass,8,6,75.0
Bautista Agut R.,2019,Hard,35,24,68.57142857142857
Bautista Agut R.,2020,Clay,6,4,66.66666666666666
Bautista Agut R.,2020,Hard,16,10,62.5
Bautista Agut R.,2021,Clay,14,7,50.0
Bautista Agut R.,2021,Grass,7,4,57.14285714285714
Bautista Agut R.,2021,Hard,29,16,55.172413793103445
Bautista Agut R.,2022,Clay,8,5,62.5
Bautista Agut R.,2022,Grass,7,5,71.42857142857143
Bautista Agut R.,2022,Hard,31,18,58.06451612903226
